,Sport,Discipline,Code,excel_country,Count,csv_country,Rank,NOC,Gold,Silver,Bronze,Total,Year,HostCountry
31869,Baseball and Softball,Softball,SBL,Soviet Union,0,URS,1,URS,50,27,22,99,1972,West Germany
31870,Baseball and Softball,Softball,SBL,Soviet Union,0,URS,1,URS,49,41,35,125,1976,Canada
31871,Baseball and Softball,Softball,SBL,Soviet Union,0,URS,1,URS,80,69,46,195,1980,Soviet Union
31872,Baseball and Softball,Softball,SBL,Soviet Union,0,URS,1,URS,55,31,46,132,1988,South Korea
31873,Basketball,3x3,BK3,Soviet Union,0,URS,2,URS,22,30,19,71,1952,Finland
31874,Basketball,3x3,BK3,Soviet Union,0,URS,1,URS,37,29,32,98,1956,Australia
31875,Basketball,3x3,BK3,Soviet Union,0,URS,1,URS,43,29,31,103,1960,Italy
31876,Basketball,3x3,BK3,Soviet Union,0,URS,2,URS,30,31,35,96,1964,Japan
31877,Basketball,3x3,BK3,Soviet Union,0,URS,2,URS,29,32,30,91,1968,Mexico
31878,Basketball,3x3,BK3,Soviet Union,0,URS,1,URS,50,27,22,99,1972,West Germany
31879,Basketball,3x3,BK3,Soviet Union,0,URS,1,URS,49,41,35,125,1976,Canada
31880,Basketball,3x3,BK3,Soviet Union,0,URS,1,URS,80,69,46,195,1980,Soviet Union
31881,Basketball,3x3,BK3,Soviet Union,0,URS,1,URS,55,31,46,132,1988,South Korea
31882,Basketball,Basketball,BKB,Soviet Union,2,URS,2,URS,22,30,19,71,1952,Finland
31883,Basketball,Basketball,BKB,Soviet Union,2,URS,1,URS,37,29,32,98,1956,Australia
31884,Basketball,Basketball,BKB,Soviet Union,2,URS,1,URS,43,29,31,103,1960,Italy
31885,Basketball,Basketball,BKB,Soviet Union,2,URS,2,URS,30,31,35,96,1964,Japan
31886,Basketball,Basketball,BKB,Soviet Union,2,URS,2,URS,29,32,30,91,1968,Mexico
31887,Basketball,Basketball,BKB,Soviet Union,2,URS,1,URS,50,27,22,99,1972,West Germany
31888,Basketball,Basketball,BKB,Soviet Union,2,URS,1,URS,49,41,35,125,1976,Canada
31889,Basketball,Basketball,BKB,Soviet Union,2,URS,1,URS,80,69,46,195,1980,Soviet Union
31890,Basketball,Basketball,BKB,Soviet Union,2,URS,1,URS,55,31,46,132,1988,South Korea
31891,Basque Pelota,Basque Pelota,PEL,Soviet Union,0,URS,2,URS,22,30,19,71,1952,Finland
31892,Basque Pelota,Basque Pelota,PEL,Soviet Union,0,URS,1,URS,37,29,32,98,1956,Australia
31893,Basque Pelota,Basque Pelota,PEL,Soviet Union,0,URS,1,URS,43,29,31,103,1960,Italy
31894,Basque Pelota,Basque Pelota,PEL,Soviet Union,0,URS,2,URS,30,31,35,96,1964,Japan
31895,Basque Pelota,Basque Pelota,PEL,Soviet Union,0,URS,2,URS,29,32,30,91,1968,Mexico
31896,Basque Pelota,Basque Pelota,PEL,Soviet Union,0,URS,1,URS,50,27,22,99,1972,West Germany
31897,Basque Pelota,Basque Pelota,PEL,Soviet Union,0,URS,1,URS,49,41,35,125,1976,Canada
31898,Basque Pelota,Basque Pelota,PEL,Soviet Union,0,URS,1,URS,80,69,46,195,1980,Soviet Union
31899,Basque Pelota,Basque Pelota,PEL,Soviet Union,0,URS,1,URS,55,31,46,132,1988,South Korea
31900,Boxing,Boxing,BOX,Soviet Union,11,URS,2,URS,22,30,19,71,1952,Finland
31901,Boxing,Boxing,BOX,Soviet Union,11,URS,1,URS,37,29,32,98,1956,Australia
31902,Boxing,Boxing,BOX,Soviet Union,11,URS,1,URS,43,29,31,103,1960,Italy
31903,Boxing,Boxing,BOX,Soviet Union,11,URS,2,URS,30,31,35,96,1964,Japan
31904,Boxing,Boxing,BOX,Soviet Union,11,URS,2,URS,29,32,30,91,1968,Mexico
31905,Boxing,Boxing,BOX,Soviet Union,11,URS,1,URS,50,27,22,99,1972,West Germany
31906,Boxing,Boxing,BOX,Soviet Union,11,URS,1,URS,49,41,35,125,1976,Canada
31907,Boxing,Boxing,BOX,Soviet Union,11,URS,1,URS,80,69,46,195,1980,Soviet Union
31908,Boxing,Boxing,BOX,Soviet Union,11,URS,1,URS,55,31,46,132,1988,South Korea
31909,Breaking,Breaking,BKG,Soviet Union,0,URS,2,URS,22,30,19,71,1952,Finland
31910,Breaking,Breaking,BKG,Soviet Union,0,URS,1,URS,37,29,32,98,1956,Australia
31911,Breaking,Breaking,BKG,Soviet Union,0,URS,1,URS,43,29,31,103,1960,Italy
31912,Breaking,Breaking,BKG,Soviet Union,0,URS,2,URS,30,31,35,96,1964,Japan
31913,Breaking,Breaking,BKG,Soviet Union,0,URS,2,URS,29,32,30,91,1968,Mexico
31914,Breaking,Breaking,BKG,Soviet Union,0,URS,1,URS,50,27,22,99,1972,West Germany
31915,Breaking,Breaking,BKG,Soviet Union,0,URS,1,URS,49,41,35,125,1976,Canada
31916,Breaking,Breaking,BKG,Soviet Union,0,URS,1,URS,80,69,46,195,1980,Soviet Union
31917,Breaking,Breaking,BKG,Soviet Union,0,URS,1,URS,55,31,46,132,1988,South Korea
31918,Canoeing,Sprint,CSP,Soviet Union,11,URS,2,URS,22,30,19,71,1952,Finland
31919,Canoeing,Sprint,CSP,Soviet Union,11,URS,1,URS,37,29,32,98,1956,Australia
31920,Canoeing,Sprint,CSP,Soviet Union,11,URS,1,URS,43,29,31,103,1960,Italy
31921,Canoeing,Sprint,CSP,Soviet Union,11,URS,2,URS,30,31,35,96,1964,Japan
31922,Canoeing,Sprint,CSP,Soviet Union,11,URS,2,URS,29,32,30,91,1968,Mexico
31923,Canoeing,Sprint,CSP,Soviet Union,11,URS,1,URS,50,27,22,99,1972,West Germany
31924,Canoeing,Sprint,CSP,Soviet Union,11,URS,1,URS,49,41,35,125,1976,Canada
31925,Canoeing,Sprint,CSP,Soviet Union,11,URS,1,URS,80,69,46,195,1980,Soviet Union
31926,Canoeing,Sprint,CSP,Soviet Union,11,URS,1,URS,55,31,46,132,1988,South Korea
31927,Canoeing,Slalom,CSL,Soviet Union,0,URS,2,URS,22,30,19,71,1952,Finland
31928,Canoeing,Slalom,CSL,Soviet Union,0,URS,1,URS,37,29,32,98,1956,Australia
31929,Canoeing,Slalom,CSL,Soviet Union,0,URS,1,URS,43,29,31,103,1960,Italy
31930,Canoeing,Slalom,CSL,Soviet Union,0,URS,2,URS,30,31,35,96,1964,Japan
31931,Canoeing,Slalom,CSL,Soviet Union,0,URS,2,URS,29,32,30,91,1968,Mexico
31932,Canoeing,Slalom,CSL,Soviet Union,0,URS,1,URS,50,27,22,99,1972,West Germany
31933,Canoeing,Slalom,CSL,Soviet Union,0,URS,1,URS,49,41,35,125,1976,Canada
31934,Canoeing,Slalom,CSL,Soviet Union,0,URS,1,URS,80,69,46,195,1980,Soviet Union
31935,Canoeing,Slalom,CSL,Soviet Union,0,URS,1,URS,55,31,46,132,1988,South Korea
31936,Cricket,Cricket,CKT,Soviet Union,0,URS,2,URS,22,30,19,71,1952,Finland
31937,Cricket,Cricket,CKT,Soviet Union,0,URS,1,URS,37,29,32,98,1956,Australia
31938,Cricket,Cricket,CKT,Soviet Union,0,URS,1,URS,43,29,31,103,1960,Italy
31939,Cricket,Cricket,CKT,Soviet Union,0,URS,2,URS,30,31,35,96,1964,Japan
31940,Cricket,Cricket,CKT,Soviet Union,0,URS,2,URS,29,32,30,91,1968,Mexico
31941,Cricket,Cricket,CKT,Soviet Union,0,URS,1,URS,50,27,22,99,1972,West Germany
31942,Cricket,Cricket,CKT,Soviet Union,0,URS,1,URS,49,41,35,125,1976,Canada
31943,Cricket,Cricket,CKT,Soviet Union,0,URS,1,URS,80,69,46,195,1980,Soviet Union
31944,Cricket,Cricket,CKT,Soviet Union,0,URS,1,URS,55,31,46,132,1988,South Korea
31945,Croquet,Croquet,CQT,Soviet Union,0,URS,2,URS,22,30,19,71,1952,Finland
31946,Croquet,Croquet,CQT,Soviet Union,0,URS,1,URS,37,29,32,98,1956,Australia
31947,Croquet,Croquet,CQT,Soviet Union,0,URS,1,URS,43,29,31,103,1960,Italy
31948,Croquet,Croquet,CQT,Soviet Union,0,URS,2,URS,30,31,35,96,1964,Japan
31949,Croquet,Croquet,CQT,Soviet Union,0,URS,2,URS,29,32,30,91,1968,Mexico
31950,Croquet,Croquet,CQT,Soviet Union,0,URS,1,URS,50,27,22,99,1972,West Germany
31951,Croquet,Croquet,CQT,Soviet Union,0,URS,1,URS,49,41,35,125,1976,Canada
31952,Croquet,Croquet,CQT,Soviet Union,0,URS,1,URS,80,69,46,195,1980,Soviet Union
31953,Croquet,Croquet,CQT,Soviet Union,0,URS,1,URS,55,31,46,132,1988,South Korea
31954,Cycling,BMX Freestyle,BMF,Soviet Union,0,URS,2,URS,22,30,19,71,1952,Finland
31955,Cycling,BMX Freestyle,BMF,Soviet Union,0,URS,1,URS,37,29,32,98,1956,Australia
31956,Cycling,BMX Freestyle,BMF,Soviet Union,0,URS,1,URS,43,29,31,103,1960,Italy
31957,Cycling,BMX Freestyle,BMF,Soviet Union,0,URS,2,URS,30,31,35,96,1964,Japan
31958,Cycling,BMX Freestyle,BMF,Soviet Union,0,URS,2,URS,29,32,30,91,1968,Mexico
31959,Cycling,BMX Freestyle,BMF,Soviet Union,0,URS,1,URS,50,27,22,99,1972,West Germany
31960,Cycling,BMX Freestyle,BMF,Soviet Union,0,URS,1,URS,49,41,35,125,1976,Canada
31961,Cycling,BMX Freestyle,BMF,Soviet Union,0,URS,1,URS,80,69,46,195,1980,Soviet Union
31962,Cycling,BMX Freestyle,BMF,Soviet Union,0,URS,1,URS,55,31,46,132,1988,South Korea
31963,Cycling,BMX Racing,BMX,Soviet Union,0,URS,2,URS,22,30,19,71,1952,Finland
31964,Cycling,BMX Racing,BMX,Soviet Union,0,URS,1,URS,37,29,32,98,1956,Australia
31965,Cycling,BMX Racing,BMX,Soviet Union,0,URS,1,URS,43,29,31,103,1960,Italy
31966,Cycling,BMX Racing,BMX,Soviet Union,0,URS,2,URS,30,31,35,96,1964,Japan
31967,Cycling,BMX Racing,BMX,Soviet Union,0,URS,2,URS,29,32,30,91,1968,Mexico
31968,Cycling,BMX Racing,BMX,Soviet Union,0,URS,1,URS,50,27,22,99,1972,West Germany
31969,Cycling,BMX Racing,BMX,Soviet Union,0,URS,1,URS,49,41,35,125,1976,Canada
31970,Cycling,BMX Racing,BMX,Soviet Union,0,URS,1,URS,80,69,46,195,1980,Soviet Union
31971,Cycling,BMX Racing,BMX,Soviet Union,0,URS,1,URS,55,31,46,132,1988,South Korea
31972,Cycling,Mountain Bike,MTB,Soviet Union,0,URS,2,URS,22,30,19,71,1952,Finland
31973,Cycling,Mountain Bike,MTB,Soviet Union,0,URS,1,URS,37,29,32,98,1956,Australia
31974,Cycling,Mountain Bike,MTB,Soviet Union,0,URS,1,URS,43,29,31,103,1960,Italy
31975,Cycling,Mountain Bike,MTB,Soviet Union,0,URS,2,URS,30,31,35,96,1964,Japan
31976,Cycling,Mountain Bike,MTB,Soviet Union,0,URS,2,URS,29,32,30,91,1968,Mexico
31977,Cycling,Mountain Bike,MTB,Soviet Union,0,URS,1,URS,50,27,22,99,1972,West Germany
31978,Cycling,Mountain Bike,MTB,Soviet Union,0,URS,1,URS,49,41,35,125,1976,Canada
31979,Cycling,Mountain Bike,MTB,Soviet Union,0,URS,1,URS,80,69,46,195,1980,Soviet Union
31980,Cycling,Mountain Bike,MTB,Soviet Union,0,URS,1,URS,55,31,46,132,1988,South Korea
31981,Cycling,Road,CRD,Soviet Union,2,URS,2,URS,22,30,19,71,1952,Finland
31982,Cycling,Road,CRD,Soviet Union,2,URS,1,URS,37,29,32,98,1956,Australia
31983,Cycling,Road,CRD,Soviet Union,2,URS,1,URS,43,29,31,103,1960,Italy
31984,Cycling,Road,CRD,Soviet Union,2,URS,2,URS,30,31,35,96,1964,Japan
31985,Cycling,Road,CRD,Soviet Union,2,URS,2,URS,29,32,30,91,1968,Mexico
31986,Cycling,Road,CRD,Soviet Union,2,URS,1,URS,50,27,22,99,1972,West Germany
31987,Cycling,Road,CRD,Soviet Union,2,URS,1,URS,49,41,35,125,1976,Canada
31988,Cycling,Road,CRD,Soviet Union,2,URS,1,URS,80,69,46,195,1980,Soviet Union
31989,Cycling,Road,CRD,Soviet Union,2,URS,1,URS,55,31,46,132,1988,South Korea
31990,Cycling,Track,CTR,Soviet Union,4,URS,2,URS,22,30,19,71,1952,Finland
31991,Cycling,Track,CTR,Soviet Union,4,URS,1,URS,37,29,32,98,1956,Australia
31992,Cycling,Track,CTR,Soviet Union,4,URS,1,URS,43,29,31,103,1960,Italy
31993,Cycling,Track,CTR,Soviet Union,4,URS,2,URS,30,31,35,96,1964,Japan
31994,Cycling,Track,CTR,Soviet Union,4,URS,2,URS,29,32,30,91,1968,Mexico
31995,Cycling,Track,CTR,Soviet Union,4,URS,1,URS,50,27,22,99,1972,West Germany
31996,Cycling,Track,CTR,Soviet Union,4,URS,1,URS,49,41,35,125,1976,Canada
31997,Cycling,Track,CTR,Soviet Union,4,URS,1,URS,80,69,46,195,1980,Soviet Union
31998,Cycling,Track,CTR,Soviet Union,4,URS,1,URS,55,31,46,132,1988,South Korea
31999,Equestrian,Dressage,EDR,Soviet Union,2,URS,2,URS,22,30,19,71,1952,Finland
32000,Equestrian,Dressage,EDR,Soviet Union,2,URS,1,URS,37,29,32,98,1956,Australia
32001,Equestrian,Dressage,EDR,Soviet Union,2,URS,1,URS,43,29,31,103,1960,Italy
32002,Equestrian,Dressage,EDR,Soviet Union,2,URS,2,URS,30,31,35,96,1964,Japan
32003,Equestrian,Dressage,EDR,Soviet Union,2,URS,2,URS,29,32,30,91,1968,Mexico
32004,Equestrian,Dressage,EDR,Soviet Union,2,URS,1,URS,50,27,22,99,1972,West Germany
32005,Equestrian,Dressage,EDR,Soviet Union,2,URS,1,URS,49,41,35,125,1976,Canada
32006,Equestrian,Dressage,EDR,Soviet Union,2,URS,1,URS,80,69,46,195,1980,Soviet Union
32007,Equestrian,Dressage,EDR,Soviet Union,2,URS,1,URS,55,31,46,132,1988,South Korea
32008,Equestrian,Eventing,EVE,Soviet Union,2,URS,2,URS,22,30,19,71,1952,Finland
32009,Equestrian,Eventing,EVE,Soviet Union,2,URS,1,URS,37,29,32,98,1956,Australia
32010,Equestrian,Eventing,EVE,Soviet Union,2,URS,1,URS,43,29,31,103,1960,Italy
32011,Equestrian,Eventing,EVE,Soviet Union,2,URS,2,URS,30,31,35,96,1964,Japan
32012,Equestrian,Eventing,EVE,Soviet Union,2,URS,2,URS,29,32,30,91,1968,Mexico
32013,Equestrian,Eventing,EVE,Soviet Union,2,URS,1,URS,50,27,22,99,1972,West Germany
32014,Equestrian,Eventing,EVE,Soviet Union,2,URS,1,URS,49,41,35,125,1976,Canada
32015,Equestrian,Eventing,EVE,Soviet Union,2,URS,1,URS,80,69,46,195,1980,Soviet Union
32016,Equestrian,Eventing,EVE,Soviet Union,2,URS,1,URS,55,31,46,132,1988,South Korea
32017,Equestrian,Jumping,EJP,Soviet Union,2,URS,2,URS,22,30,19,71,1952,Finland
32018,Equestrian,Jumping,EJP,Soviet Union,2,URS,1,URS,37,29,32,98,1956,Australia
32019,Equestrian,Jumping,EJP,Soviet Union,2,URS,1,URS,43,29,31,103,1960,Italy
32020,Equestrian,Jumping,EJP,Soviet Union,2,URS,2,URS,30,31,35,96,1964,Japan
32021,Equestrian,Jumping,EJP,Soviet Union,2,URS,2,URS,29,32,30,91,1968,Mexico
32022,Equestrian,Jumping,EJP,Soviet Union,2,URS,1,URS,50,27,22,99,1972,West Germany
32023,Equestrian,Jumping,EJP,Soviet Union,2,URS,1,URS,49,41,35,125,1976,Canada
32024,Equestrian,Jumping,EJP,Soviet Union,2,URS,1,URS,80,69,46,195,1980,Soviet Union
32025,Equestrian,Jumping,EJP,Soviet Union,2,URS,1,URS,55,31,46,132,1988,South Korea
32026,Equestrian,Vaulting,EVL,Soviet Union,0,URS,2,URS,22,30,19,71,1952,Finland
32027,Equestrian,Vaulting,EVL,Soviet Union,0,URS,1,URS,37,29,32,98,1956,Australia
32028,Equestrian,Vaulting,EVL,Soviet Union,0,URS,1,URS,43,29,31,103,1960,Italy
32029,Equestrian,Vaulting,EVL,Soviet Union,0,URS,2,URS,30,31,35,96,1964,Japan
32030,Equestrian,Vaulting,EVL,Soviet Union,0,URS,2,URS,29,32,30,91,1968,Mexico
32031,Equestrian,Vaulting,EVL,Soviet Union,0,URS,1,URS,50,27,22,99,1972,West Germany
32032,Equestrian,Vaulting,EVL,Soviet Union,0,URS,1,URS,49,41,35,125,1976,Canada
32033,Equestrian,Vaulting,EVL,Soviet Union,0,URS,1,URS,80,69,46,195,1980,Soviet Union
32034,Equestrian,Vaulting,EVL,Soviet Union,0,URS,1,URS,55,31,46,132,1988,South Korea
32035,Equestrian,Driving,EDV,Soviet Union,0,URS,2,URS,22,30,19,71,1952,Finland
32036,Equestrian,Driving,EDV,Soviet Union,0,URS,1,URS,37,29,32,98,1956,Australia
32037,Equestrian,Driving,EDV,Soviet Union,0,URS,1,URS,43,29,31,103,1960,Italy
32038,Equestrian,Driving,EDV,Soviet Union,0,URS,2,URS,30,31,35,96,1964,Japan
32039,Equestrian,Driving,EDV,Soviet Union,0,URS,2,URS,29,32,30,91,1968,Mexico
32040,Equestrian,Driving,EDV,Soviet Union,0,URS,1,URS,50,27,22,99,1972,West Germany
32041,Equestrian,Driving,EDV,Soviet Union,0,URS,1,URS,49,41,35,125,1976,Canada
32042,Equestrian,Driving,EDV,Soviet Union,0,URS,1,URS,80,69,46,195,1980,Soviet Union
32043,Equestrian,Driving,EDV,Soviet Union,0,URS,1,URS,55,31,46,132,1988,South Korea
32044,Fencing,Fencing,FEN,Soviet Union,8,URS,2,URS,22,30,19,71,1952,Finland
32045,Fencing,Fencing,FEN,Soviet Union,8,URS,1,URS,37,29,32,98,1956,Australia
32046,Fencing,Fencing,FEN,Soviet Union,8,URS,1,URS,43,29,31,103,1960,Italy
32047,Fencing,Fencing,FEN,Soviet Union,8,URS,2,URS,30,31,35,96,1964,Japan
32048,Fencing,Fencing,FEN,Soviet Union,8,URS,2,URS,29,32,30,91,1968,Mexico
32049,Fencing,Fencing,FEN,Soviet Union,8,URS,1,URS,50,27,22,99,1972,West Germany
32050,Fencing,Fencing,FEN,Soviet Union,8,URS,1,URS,49,41,35,125,1976,Canada
32051,Fencing,Fencing,FEN,Soviet Union,8,URS,1,URS,80,69,46,195,1980,Soviet Union
32052,Fencing,Fencing,FEN,Soviet Union,8,URS,1,URS,55,31,46,132,1988,South Korea
32053,Field hockey,Field hockey,HOC,Soviet Union,2,URS,2,URS,22,30,19,71,1952,Finland
32054,Field hockey,Field hockey,HOC,Soviet Union,2,URS,1,URS,37,29,32,98,1956,Australia
32055,Field hockey,Field hockey,HOC,Soviet Union,2,URS,1,URS,43,29,31,103,1960,Italy
32056,Field hockey,Field hockey,HOC,Soviet Union,2,URS,2,URS,30,31,35,96,1964,Japan
32057,Field hockey,Field hockey,HOC,Soviet Union,2,URS,2,URS,29,32,30,91,1968,Mexico
32058,Field hockey,Field hockey,HOC,Soviet Union,2,URS,1,URS,50,27,22,99,1972,West Germany
32059,Field hockey,Field hockey,HOC,Soviet Union,2,URS,1,URS,49,41,35,125,1976,Canada
32060,Field hockey,Field hockey,HOC,Soviet Union,2,URS,1,URS,80,69,46,195,1980,Soviet Union
32061,Field hockey,Field hockey,HOC,Soviet Union,2,URS,1,URS,55,31,46,132,1988,South Korea
32062,Flag football,Flag football,AFB,Soviet Union,0,URS,2,URS,22,30,19,71,1952,Finland
32063,Flag football,Flag football,AFB,Soviet Union,0,URS,1,URS,37,29,32,98,1956,Australia
32064,Flag football,Flag football,AFB,Soviet Union,0,URS,1,URS,43,29,31,103,1960,Italy
32065,Flag football,Flag football,AFB,Soviet Union,0,URS,2,URS,30,31,35,96,1964,Japan
32066,Flag football,Flag football,AFB,Soviet Union,0,URS,2,URS,29,32,30,91,1968,Mexico
32067,Flag football,Flag football,AFB,Soviet Union,0,URS,1,URS,50,27,22,99,1972,West Germany
32068,Flag football,Flag football,AFB,Soviet Union,0,URS,1,URS,49,41,35,125,1976,Canada
32069,Flag football,Flag football,AFB,Soviet Union,0,URS,1,URS,80,69,46,195,1980,Soviet Union
32070,Flag football,Flag football,AFB,Soviet Union,0,URS,1,URS,55,31,46,132,1988,South Korea
32071,Football,Football,FBL,Soviet Union,1,URS,2,URS,22,30,19,71,1952,Finland
32072,Football,Football,FBL,Soviet Union,1,URS,1,URS,37,29,32,98,1956,Australia
32073,Football,Football,FBL,Soviet Union,1,URS,1,URS,43,29,31,103,1960,Italy
32074,Football,Football,FBL,Soviet Union,1,URS,2,URS,30,31,35,96,1964,Japan
32075,Football,Football,FBL,Soviet Union,1,URS,2,URS,29,32,30,91,1968,Mexico
32076,Football,Football,FBL,Soviet Union,1,URS,1,URS,50,27,22,99,1972,West Germany
32077,Football,Football,FBL,Soviet Union,1,URS,1,URS,49,41,35,125,1976,Canada
32078,Football,Football,FBL,Soviet Union,1,URS,1,URS,80,69,46,195,1980,Soviet Union
32079,Football,Football,FBL,Soviet Union,1,URS,1,URS,55,31,46,132,1988,South Korea
32080,Golf,Golf,GLF,Soviet Union,0,URS,2,URS,22,30,19,71,1952,Finland
32081,Golf,Golf,GLF,Soviet Union,0,URS,1,URS,37,29,32,98,1956,Australia
32082,Golf,Golf,GLF,Soviet Union,0,URS,1,URS,43,29,31,103,1960,Italy
32083,Golf,Golf,GLF,Soviet Union,0,URS,2,URS,30,31,35,96,1964,Japan
32084,Golf,Golf,GLF,Soviet Union,0,URS,2,URS,29,32,30,91,1968,Mexico
32085,Golf,Golf,GLF,Soviet Union,0,URS,1,URS,50,27,22,99,1972,West Germany
32086,Golf,Golf,GLF,Soviet Union,0,URS,1,URS,49,41,35,125,1976,Canada
32087,Golf,Golf,GLF,Soviet Union,0,URS,1,URS,80,69,46,195,1980,Soviet Union
32088,Golf,Golf,GLF,Soviet Union,0,URS,1,URS,55,31,46,132,1988,South Korea
32089,Gymnastics,Artistic,GAR,Soviet Union,14,URS,2,URS,22,30,19,71,1952,Finland
32090,Gymnastics,Artistic,GAR,Soviet Union,14,URS,1,URS,37,29,32,98,1956,Australia
32091,Gymnastics,Artistic,GAR,Soviet Union,14,URS,1,URS,43,29,31,103,1960,Italy
32092,Gymnastics,Artistic,GAR,Soviet Union,14,URS,2,URS,30,31,35,96,1964,Japan
32093,Gymnastics,Artistic,GAR,Soviet Union,14,URS,2,URS,29,32,30,91,1968,Mexico
32094,Gymnastics,Artistic,GAR,Soviet Union,14,URS,1,URS,50,27,22,99,1972,West Germany
32095,Gymnastics,Artistic,GAR,Soviet Union,14,URS,1,URS,49,41,35,125,1976,Canada
32096,Gymnastics,Artistic,GAR,Soviet Union,14,URS,1,URS,80,69,46,195,1980,Soviet Union
32097,Gymnastics,Artistic,GAR,Soviet Union,14,URS,1,URS,55,31,46,132,1988,South Korea
32098,Gymnastics,Rhythmic,GRY,Soviet Union,0,URS,2,URS,22,30,19,71,1952,Finland
32099,Gymnastics,Rhythmic,GRY,Soviet Union,0,URS,1,URS,37,29,32,98,1956,Australia
32100,Gymnastics,Rhythmic,GRY,Soviet Union,0,URS,1,URS,43,29,31,103,1960,Italy
32101,Gymnastics,Rhythmic,GRY,Soviet Union,0,URS,2,URS,30,31,35,96,1964,Japan
32102,Gymnastics,Rhythmic,GRY,Soviet Union,0,URS,2,URS,29,32,30,91,1968,Mexico
32103,Gymnastics,Rhythmic,GRY,Soviet Union,0,URS,1,URS,50,27,22,99,1972,West Germany
32104,Gymnastics,Rhythmic,GRY,Soviet Union,0,URS,1,URS,49,41,35,125,1976,Canada
32105,Gymnastics,Rhythmic,GRY,Soviet Union,0,URS,1,URS,80,69,46,195,1980,Soviet Union
32106,Gymnastics,Rhythmic,GRY,Soviet Union,0,URS,1,URS,55,31,46,132,1988,South Korea
32107,Gymnastics,Trampoline,GTR,Soviet Union,0,URS,2,URS,22,30,19,71,1952,Finland
32108,Gymnastics,Trampoline,GTR,Soviet Union,0,URS,1,URS,37,29,32,98,1956,Australia
32109,Gymnastics,Trampoline,GTR,Soviet Union,0,URS,1,URS,43,29,31,103,1960,Italy
32110,Gymnastics,Trampoline,GTR,Soviet Union,0,URS,2,URS,30,31,35,96,1964,Japan
32111,Gymnastics,Trampoline,GTR,Soviet Union,0,URS,2,URS,29,32,30,91,1968,Mexico
32112,Gymnastics,Trampoline,GTR,Soviet Union,0,URS,1,URS,50,27,22,99,1972,West Germany
32113,Gymnastics,Trampoline,GTR,Soviet Union,0,URS,1,URS,49,41,35,125,1976,Canada
32114,Gymnastics,Trampoline,GTR,Soviet Union,0,URS,1,URS,80,69,46,195,1980,Soviet Union
32115,Gymnastics,Trampoline,GTR,Soviet Union,0,URS,1,URS,55,31,46,132,1988,South Korea
32116,Handball,Indoor,HBL,Soviet Union,2,URS,2,URS,22,30,19,71,1952,Finland
32117,Handball,Indoor,HBL,Soviet Union,2,URS,1,URS,37,29,32,98,1956,Australia
32118,Handball,Indoor,HBL,Soviet Union,2,URS,1,URS,43,29,31,103,1960,Italy
32119,Handball,Indoor,HBL,Soviet Union,2,URS,2,URS,30,31,35,96,1964,Japan
32120,Handball,Indoor,HBL,Soviet Union,2,URS,2,URS,29,32,30,91,1968,Mexico
32121,Handball,Indoor,HBL,Soviet Union,2,URS,1,URS,50,27,22,99,1972,West Germany
32122,Handball,Indoor,HBL,Soviet Union,2,URS,1,URS,49,41,35,125,1976,Canada
32123,Handball,Indoor,HBL,Soviet Union,2,URS,1,URS,80,69,46,195,1980,Soviet Union
32124,Handball,Indoor,HBL,Soviet Union,2,URS,1,URS,55,31,46,132,1988,South Korea
32125,Handball,Field,HBL,Soviet Union,0,URS,2,URS,22,30,19,71,1952,Finland
32126,Handball,Field,HBL,Soviet Union,0,URS,1,URS,37,29,32,98,1956,Australia
32127,Handball,Field,HBL,Soviet Union,0,URS,1,URS,43,29,31,103,1960,Italy
32128,Handball,Field,HBL,Soviet Union,0,URS,2,URS,30,31,35,96,1964,Japan
32129,Handball,Field,HBL,Soviet Union,0,URS,2,URS,29,32,30,91,1968,Mexico
32130,Handball,Field,HBL,Soviet Union,0,URS,1,URS,50,27,22,99,1972,West Germany
32131,Handball,Field,HBL,Soviet Union,0,URS,1,URS,49,41,35,125,1976,Canada
32132,Handball,Field,HBL,Soviet Union,0,URS,1,URS,80,69,46,195,1980,Soviet Union
32133,Handball,Field,HBL,Soviet Union,0,URS,1,URS,55,31,46,132,1988,South Korea
32134,Jeu de Paume,Jeu de Paume,éˆ?0,Soviet Union,0,URS,2,URS,22,30,19,71,1952,Finland
32135,Jeu de Paume,Jeu de Paume,éˆ?0,Soviet Union,0,URS,1,URS,37,29,32,98,1956,Australia
32136,Jeu de Paume,Jeu de Paume,éˆ?0,Soviet Union,0,URS,1,URS,43,29,31,103,1960,Italy
32137,Jeu de Paume,Jeu de Paume,éˆ?0,Soviet Union,0,URS,2,URS,30,31,35,96,1964,Japan
32138,Jeu de Paume,Jeu de Paume,éˆ?0,Soviet Union,0,URS,2,URS,29,32,30,91,1968,Mexico
32139,Jeu de Paume,Jeu de Paume,éˆ?0,Soviet Union,0,URS,1,URS,50,27,22,99,1972,West Germany
32140,Jeu de Paume,Jeu de Paume,éˆ?0,Soviet Union,0,URS,1,URS,49,41,35,125,1976,Canada
32141,Jeu de Paume,Jeu de Paume,éˆ?0,Soviet Union,0,URS,1,URS,80,69,46,195,1980,Soviet Union
32142,Jeu de Paume,Jeu de Paume,éˆ?0,Soviet Union,0,URS,1,URS,55,31,46,132,1988,South Korea
32143,Judo,Judo,JUD,Soviet Union,8,URS,2,URS,22,30,19,71,1952,Finland
